Run,Tl,Tv,L,V,alpha,w_MEA,y_H2O,y_CO2,VLE-lwm_coeff_1,VLE-lwm_coeff_2,VLE-lwm_coeff_3,VLE-lwm_coeff_4,surface_tension-surf_tens_CO2_coeff_1,surface_tension-surf_tens_CO2_coeff_2,surface_tension-surf_tens_CO2_coeff_3,surface_tension-surf_tens_CO2_coeff_4,surface_tension-surf_tens_CO2_coeff_5,surface_tension-surf_tens_CO2_coeff_6,surface_tension-surf_tens_F_coeff_a,surface_tension-surf_tens_F_coeff_b,surface_tension-surf_tens_F_coeff_c,surface_tension-surf_tens_F_coeff_d,surface_tension-surf_tens_F_coeff_e,surface_tension-surf_tens_F_coeff_f,surface_tension-surf_tens_F_coeff_g,surface_tension-surf_tens_F_coeff_h,surface_tension-surf_tens_F_coeff_i,surface_tension-surf_tens_F_coeff_j,molar_volume-vol_mol_liq_comp_coeff_a,molar_volume-vol_mol_liq_comp_coeff_b,molar_volume-vol_mol_liq_comp_coeff_c,molar_volume-vol_mol_liq_comp_coeff_d,molar_volume-vol_mol_liq_comp_coeff_e,viscosity-visc_d_coeff_a,viscosity-visc_d_coeff_b,viscosity-visc_d_coeff_c,viscosity-visc_d_coeff_d,viscosity-visc_d_coeff_e,viscosity-visc_d_coeff_f,viscosity-visc_d_coeff_g
11,312.5743815221672,323.55692672683364,0.6421371394569455,0.08547719298852421,0.26869844525098263,0.29180468712543056,0.011279660440372897,0.13150396038487222,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
12,317.20541531917775,321.1061738006186,0.6008976115631715,0.15235689281274944,0.29770207257561726,0.28569993015364636,0.010183327318385825,0.13065843115834155,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
13,312.91595905891853,316.35335891343146,0.5013376053240475,0.14201590465645803,0.3114672393118682,0.2877650356091892,0.015990399535245028,0.11759982634226224,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
14,317.99996952709773,324.9511006304834,0.7958018186617046,0.17552989412902165,0.3047682012336273,0.3143989220899268,0.010862154847741766,0.1384415309448015,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
15,314.68523853454775,321.44541237763576,0.685245787579909,0.1740704619203307,0.3018888265626839,0.28629598563698033,0.013747435070775815,0.12033146363725256,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
16,317.536565428829,319.5550417737185,0.7577364871588875,0.15961300518497845,0.23542135883926169,0.28043700010163986,0.012553271320695595,0.12638973104729026,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
17,316.76578918347445,323.4807125007797,0.7824290582881618,0.15852518022764187,0.29057805204921716,0.2978502608307986,0.013398953348059434,0.10933478143879552,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
18,310.0278616894315,318.4047260224144,0.7457630688946194,0.06660910109924603,0.2993611223964402,0.2941986415307564,0.015184571462504782,0.13528544787831417,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
19,317.8302974813858,320.6659253843258,0.7699539195894898,0.03755736075479121,0.27871379538359203,0.31890182143911344,0.012919258275945842,0.1079049306225566,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
20,315.4663822564954,320.214779967709,0.6659587339334984,0.072593853639442,0.26268858586399824,0.30775576075536276,0.010798091955606255,0.10533009680611928,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
21,315.7150951325755,318.0006581526627,0.8482653185323181,0.09215276823517021,0.2581745301766083,0.3123070215235872,0.010032088511407173,0.10724294072826622,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
22,317.4490281040124,318.2875600672967,0.7500236500161979,0.1793448443436435,0.2564284186088365,0.28487580261908013,0.01331742413720079,0.12352766487619615,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
23,309.4777745468587,322.43243874405846,0.6207004099686497,0.1450831387060285,0.27512015449754107,0.3109048638568408,0.011185957537880074,0.10107222378955211,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
24,312.2776479302401,319.77997075734305,0.7464610704358833,0.14785864994565845,0.2431729655612521,0.31195015867006126,0.012257415519700764,0.13494225363097365,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
25,312.68730179711554,315.1003959358531,0.537250602934283,0.12612280625355488,0.3230877332944606,0.3018265593899221,0.011133363298008197,0.12908004166221912,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
26,313.8914166770172,316.00057423265906,0.7409505820605458,0.054089681635143466,0.2871403149306891,0.3093628559313122,0.011888499994658477,0.11216760235357329,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
27,317.084262758884,324.13344788938366,0.6741222845074032,0.06349663649558275,0.31730107657187945,0.2826536998220345,0.011835173459611938,0.12826696547920965,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
28,313.5598046474458,322.23490769608287,0.48176494787507174,0.11002202979351657,0.28271229371482975,0.2888879243764499,0.014380833785879621,0.11558266026409406,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
29,310.94458984696735,322.5823545963263,0.8449136170862566,0.031165772211051435,0.2331917673104047,0.31806802136984524,0.010253062593807753,0.13019586665191515,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
30,315.60381448431286,315.83636337926333,0.5602669849517181,0.04088584172492706,0.26651303176605456,0.3052867690760719,0.012309853030799671,0.12193437407198596,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
31,313.4244333881985,316.66071418196174,0.8179610695253212,0.061774951601293496,0.26442663716783016,0.3100672097175931,0.015397724412883597,0.12979031701671873,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
32,310.54231566930605,315.5206304800187,0.8233630330484341,0.14047181095238068,0.2735574295042058,0.28442739698758956,0.014101613733896363,0.13694830177695594,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
33,311.2999778811128,319.42269229246875,0.7813742645333479,0.10075117515227025,0.28183568318303676,0.30336872154466477,0.011062918585121762,0.1331504506540736,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
34,317.37026586838624,315.9252992274481,0.6689422047725628,0.1048532242501015,0.24464468810311374,0.3127703476812468,0.014962202514615938,0.11929223290713127,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
35,313.38890116084895,316.44201699506476,0.5484295964344688,0.13645644609208996,0.26596218555102347,0.31745624578539516,0.015274168490345831,0.1344828010583716,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
36,313.6891557361009,319.6634432207691,0.5573279482706284,0.16908625743942696,0.30381698238787036,0.2994568337138452,0.011550502568077154,0.12221897557629963,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
37,309.6105314811255,320.0552114032011,0.678744627815011,0.1540813468569896,0.27497951373364377,0.3130333300234715,0.010542409307986498,0.10385972375976826,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
38,310.8926386907832,322.72755780768887,0.6223987425976294,0.03697949846760589,0.2670817910691107,0.31505503394984324,0.015663776452335007,0.10576933946436445,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
39,311.0737762754587,317.6099668183497,0.5303850021810896,0.15678101187866383,0.23082987878014433,0.2960635925853032,0.011332499469580901,0.10908975916366587,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
40,314.12333497121324,317.72274329044376,0.7331845599994659,0.13940304726085395,0.31049855109335134,0.31641787629678286,0.012766147109026467,0.1042168921030884,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
41,315.54371022184233,323.8858415820014,0.7726943467000684,0.07694070118915583,0.31970293312954207,0.29465112985997083,0.010119589604612435,0.11418084074095074,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
42,314.8951119591993,323.7279505027205,0.7275896623396785,0.0504116634950464,0.2861303342642742,0.30114990706868977,0.010657874840554877,0.13164009094312984,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
43,310.69176301450335,316.28993813635975,0.5823600673627027,0.112570878823481,0.2634415339414816,0.28924336146922225,0.014871802325969258,0.11365036060280627,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
44,310.3156754656608,315.66731992641473,0.572545692906133,0.048092271315136034,0.3050070732150285,0.28723978192534666,0.013251816444483809,0.10239560701213334,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
45,318.9548375568998,317.2553367194694,0.6960610954439992,0.15500263084786817,0.24214743328759666,0.3084439523489746,0.01436369899716363,0.13563351046675617,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
46,312.3406934353679,321.83946561899455,0.49037062169619594,0.07034678683267301,0.312592188733011,0.3132052835834868,0.015298771994381547,0.12667987271553127,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
47,313.14255584250475,321.5032746884295,0.6563841126307406,0.16520256909093575,0.28328825632822313,0.3023971155531993,0.010465025244418301,0.11328244651888907,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
48,311.56900496671386,320.13534903379133,0.8583075399108784,0.1328916759208058,0.3072897869487063,0.2996302864729567,0.014526628292943867,0.13215259423948209,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
49,317.17998056556473,323.96834419436675,0.8416976640416148,0.06483663813294795,0.2703884405189578,0.3139551762485667,0.01199900857583254,0.11831051010290011,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
50,315.24813513536424,316.17182109111906,0.7651376186420464,0.11914008357754662,0.31447038776631175,0.28002524093648234,0.014779290306174435,0.11869223754073688,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
51,318.5299172291336,319.2352987059609,0.5863856974535435,0.04306615921444126,0.23674137187853675,0.2880173652151075,0.014035644980907034,0.12524052961987087,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
52,318.3351126684945,315.06357916088695,0.7878597443752486,0.169535511537814,0.2931559467997543,0.2910579477089572,0.01593119849579545,0.11488759494708069,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
53,309.1974614639466,321.0081303388692,0.6113012974234708,0.12835877504552967,0.27287751722219206,0.31055427977288813,0.01287041551244396,0.12268668817568608,1.70981,0.03972,-0.00043,-2.20377,-5.987,3.77,-0.43164,0.018155,-0.01207,0.002119,2.4558,-1.5311,3.5,-5.6398,10.2109,2.3122,4.5608,-2.3924,5.3324,-12.0494,10.2074,-2.2642,3.0059,207.0,-563.3701,-0.0838,2.8817,33.651,1817.0,0.00847,0.0103,-2.389
